No,ID,Name,Birth,Sex,IDSocial
1,22120100,Le Thai Nhu Quynh,01/09/2003,Nu,42271995
2,22120101,Nguyen Ngoc Thuy Quynh,25/06/2003,Nam,72802560
3,22120102,Tran Thai San,04/02/2003,Nam,85168294
4,22120103,Nguyen Quang Nghi Sinh,25/03/2003,Nu,99154192
5,22120104,Nguyen Huu Tai,25/07/2003,Nam,30936623
6,22120105,Vo Van Tai,10/02/2003,Nu,54489268
7,22120106,Nguyen Nhat Tan,21/06/2003,Nam,48045403
8,22120107,Pham Quang Tan,02/04/2003,Nu,84068778
9,22120108,Tran Trong Tan,24/02/2003,Nam,31400791
10,22120109,Le An Thach,23/05/2003,Nam,11970098
11,22120110,Nguyen Viet Thai,13/07/2003,Nu,83600974
12,22120111,Le Tran Thien Thang,21/03/2003,Nam,19219295
13,22120112,Huynh Pham Dan Thanh,16/04/2003,Nam,78904926
14,22120113,Vo Thi Phuoc Thao,21/11/2003,Nam,23396097
15,22120114,Lam Duy Thien,09/12/2003,Nam,61760123
16,22120115,Tran Huu Nam Thien,20/04/2003,Nu,47763370
17,22120116,Nguyen Huu Thien,11/10/2003,Nam,79701371
18,22120117,Tran Hoai Thien,24/01/2003,Nam,44640029
19,22120118,Mai Cuong Thinh,19/11/2003,Nu,30794397
20,22120119,Nguyen Huynh Phu Thinh,23/09/2003,Nam,91031467
21,22120120,Tran Huynh Xuan Thinh,08/12/2003,Nu,45608917
22,22120121,Pham Gia Thong,16/12/2003,Nam,55469179
23,22120122,Duong Le Dinh Thuan,26/09/2003,Nam,60876936
24,22120123,Le Dong Thuc,05/11/2003,Nu,68983087
25,22120124,Nguyen Ngoc Thuy,04/10/2003,Nam,25891660
26,22120125,Tran Thi Kim Tien,24/09/2003,Nam,41111834
27,22120126,Nguyen Hoang Tin,07/05/2003,Nam,54158155
28,22120127,Tran Minh Toan,06/06/2003,Nam,26943760
29,22120128,Le Minh Tri,01/09/2003,Nu,99792890
30,22120129,Nguyen Dinh Tri,15/01/2003,Nam,25667530
31,22120130,Nguyen Minh Tri,06/03/2003,Nam,74401243
32,22120131,Thai Minh Tri,10/05/2003,Nu,23303656
33,22120132,Tran Trong Tri,11/05/2003,Nam,17659005
34,22120133,La Thanh Triet,10/06/2003,Nam,15053127
35,22120134,Thai Minh Triet,18/10/2003,Nu,79726620
36,22120135,Tran Thi My Trinh,13/03/2003,Nam,49422932
37,22120136,Ton Cao Thien Trung,17/12/2003,Nam,42678885
38,22120137,Tran Quoc Trung,14/07/2003,Nam,55527669
39,22120138,Nguyen Nhat Truong,26/03/2003,Nu,19933907
40,22120139,Pham Duy Truong,27/03/2003,Nam,56654610
41,22120140,Phan Huy Truong,07/03/2003,Nam,12515051
42,22120141,Vo Duy Truong,27/04/2003,Nu,73788826
43,22120142,Ngo Nguyen Quang Tu,19/12/2003,Nam,36097900
44,22120143,Pham Tan Anh Vu,18/07/2003,Nam,76647267
45,22120144,Ha Nguyen Thao Vy,21/04/2003,Nam,51343428
46,22120145,Nguyen Ngoc Khanh Vy,19/02/2003,Nu,59312666
47,22120146,Thai Mai Khanh Vy,08/02/2003,Nam,66220403
48,22120147,Duong Thi An,15/03/2003,Nam,24318898
49,22120148,Nguyen Phuc An,10/04/2003,Nam,98110956
50,22120149,Hoang Tuan Anh,15/07/2003,Nu,20739137
